player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Aaron Rodgers,00-0023459,QB1,28,QB1,29,QB1,24,QB
TY Hilton,00-0029608,WR11,29,WR12,28,WR12,30,WR
Stefon Diggs,00-0031588,WR12,30,WR11,27,WR11,29,WR
Adam Thielen,00-0030035,WR13,31,WR13,33,WR13,32,WR
Larry Fitzgerald,00-0022921,WR14,32,WR16,37,WR17,42,WR
Kenyan Drake,00-0033118,RB16,33,RB18,35,RB17,33,RB
Amari Cooper,00-0031544,WR15,34,WR15,36,WR14,34,WR
Zach Ertz,00-0030061,TE3,35,TE3,38,TE3,39,TE
Doug Baldwin,00-0028434,WR16,36,WR14,34,WR15,38,WR
Alex Collins,00-0032426,RB17,37,RB16,31,RB16,31,RB
Jarvis Landry,00-0031382,WR17,38,WR21,46,WR18,43,WR
Royce Freeman,00-0034838,RB18,39,RB20,41,RB20,40,RB
Derrick Henry,00-0032764,RB19,40,RB17,32,RB18,35,RB
Demaryius Thomas,00-0027874,WR18,41,WR20,45,WR20,47,WR
Jay Ajayi,00-0031590,RB20,42,RB19,39,RB19,37,RB
JuJu Smith-Schuster,00-0033857,WR19,43,WR17,40,WR16,41,WR
Brandin Cooks,00-0031236,WR20,44,WR18,42,WR19,46,WR
Golden Tate,00-0027891,WR21,45,WR23,50,WR24,54,WR
Lamar Miller,00-0029615,RB21,46,RB21,43,RB21,45,RB
Tom Brady,00-0019596,QB2,47,QB3,52,QB3,44,QB
Deshaun Watson,00-0033537,QB3,48,QB2,47,QB2,36,QB
Allen Robinson II,00-0031428,WR22,49,WR22,49,WR22,52,WR
Josh Gordon,00-0029664,WR23,50,WR19,44,WR21,50,WR
Mark Ingram II,00-0027966,RB22,51,RB22,48,RB22,51,RB
Russell Wilson,00-0029263,QB4,52,QB4,54,QB4,48,QB
Jimmy Graham,00-0027696,TE4,53,TE4,51,TE4,49,TE
Marvin Jones,00-0029293,WR24,54,WR24,53,WR23,53,WR
Chris Hogan,00-0028237,WR25,55,WR25,58,WR25,55,WR
Dion Lewis,00-0028087,RB23,56,RB25,57,RB25,61,RB
Greg Olsen,00-0025418,TE5,57,TE5,60,TE5,59,TE
Marshawn Lynch,00-0025399,RB24,58,RB23,55,RB23,57,RB
Cam Newton,00-0027939,QB5,59,QB5,62,QB5,56,QB
Corey Davis,00-0033871,WR26,60,WR27,63,WR27,65,WR
Carlos Hyde,00-0031045,RB25,61,RB24,56,RB24,58,RB
Evan Engram,00-0033881,TE6,62,TE6,64,TE6,66,TE
Michael Crabtree,00-0026986,WR27,63,WR28,66,WR28,68,WR
Marquise Goodwin,00-0030068,WR28,64,WR29,70,WR26,64,WR
Emmanuel Sanders,00-0027685,WR29,65,WR31,73,WR31,75,WR
Rex Burkhead,00-0030288,RB26,66,RB30,72,RB29,69,RB
Drew Brees,00-0020531,QB6,67,QB6,68,QB6,60,QB
Tevin Coleman,00-0032058,RB27,68,RB27,65,RB27,63,RB
Julian Edelman,00-0027150,WR30,69,WR30,71,WR29,71,WR
Delanie Walker,00-0024389,TE7,70,TE7,78,TE8,76,TE
Alshon Jeffery,00-0029137,WR31,71,WR26,61,WR30,73,WR
Kyle Rudolph,00-0027981,TE8,72,TE8,79,TE7,74,TE
Kerryon Johnson,00-0034349,RB28,73,RB29,69,RB26,62,RB
Jamaal Williams,00-0033948,RB29,74,RB31,74,RB28,67,RB
William Fuller V,00-0033127,WR32,75,WR33,76,WR32,77,WR
Sammy Watkins,00-0031325,WR33,76,WR32,75,WR33,80,WR
Carson Wentz,00-0032950,QB7,77,QB7,77,QB7,70,QB
Robert Woods,00-0030431,WR34,78,WR36,88,WR36,87,WR
Sony Michel,00-0034845,RB30,79,RB28,67,RB30,72,RB
Devin Funchess,00-0032055,WR35,80,WR34,81,WR35,85,WR
Rashaad Penny,00-0034750,RB31,81,RB26,59,RB31,79,RB
Jordan Reed,00-0030472,TE9,82,TE10,94,TE10,89,TE
Cooper Kupp,00-0033908,WR36,83,WR35,85,WR37,88,WR
Tarik Cohen,00-0033556,RB32,84,RB34,86,RB34,92,RB
Trey Burton,00-0030710,TE10,85,TE9,82,TE9,81,TE
Jacksonville Jaguars,JAX,DST1,86,DST1,92,DST1,86,DST
Duke Johnson,00-0032257,RB33,87,RB39,104,RB40,108,RB
Kirk Cousins,00-0029604,QB8,88,QB8,83,QB8,78,QB
Jamison Crowder,00-0031941,WR37,89,WR39,91,WR42,107,WR
Robbie Chosen,00-0032688,WR38,90,WR38,90,WR38,96,WR
Chris Carson,00-0033594,RB34,91,RB36,97,RB32,82,RB
Andrew Luck,00-0029668,QB9,92,QB9,96,QB9,83,QB
Pierre Garcon,00-0026345,WR39,93,WR40,93,WR39,99,WR
Jordy Nelson,00-0026176,WR40,94,WR37,89,WR34,84,WR
Isaiah Crowell,00-0030656,RB35,95,RB35,87,RB33,90,RB
Matthew Stafford,00-0026498,QB10,96,QB11,101,QB10,91,QB
Randall Cobb,00-0028002,WR41,97,WR41,95,WR41,106,WR
Ben Roethlisberger,00-0022924,QB11,98,QB14,111,QB11,94,QB
Nelson Agholor,00-0031549,WR42,99,WR42,100,WR40,105,WR
Los Angeles Rams,LA,DST2,100,DST2,103,DST2,104,DST
Marlon Mack,00-0033951,RB36,101,RB33,84,RB36,97,RB
Jimmy Garoppolo,00-0031345,QB12,102,QB10,99,QB12,95,QB
Sterling Shepard,00-0032385,WR43,103,WR44,108,WR43,111,WR
Peyton Barber,00-0032741,RB37,104,RB40,105,RB37,98,RB
Matt Ryan,00-0026143,QB13,105,QB13,109,QB13,101,QB
Jack Doyle,00-0030181,TE11,106,TE12,126,TE12,120,TE
Philip Rivers,00-0022942,QB14,107,QB12,107,QB14,102,QB
Chris Thompson,00-0030404,RB38,108,RB54,179,RB35,93,RB
Minnesota Vikings,MIN,DST3,109,DST3,110,DST3,109,DST
Pharoh Cooper,00-0033111,WR88,110,WR70,162,WR102,249,WR
Ronald Jones,00-0034816,RB39,111,RB32,80,RB38,100,RB
David Njoku,00-0033885,TE12,112,TE11,115,TE11,112,TE
Kelvin Benjamin,00-0031359,WR44,113,WR43,106,WR44,117,WR
Philadelphia Eagles,PHI,DST4,114,DST4,124,DST4,115,DST
Kenny Stills,00-0030085,WR45,115,WR45,116,WR45,119,WR
James White,00-0031062,RB40,116,RB47,131,RB44,121,RB
Aaron Jones,00-0033293,RB41,117,RB37,98,RB41,114,RB
Patrick Mahomes,00-0033873,QB15,118,QB15,117,QB16,113,QB
Jared Goff,00-0033106,QB16,119,QB16,118,QB15,110,QB
DeVante Parker,00-0031547,WR46,120,WR48,122,WR47,124,WR
Allen Hurns,00-0030821,WR47,121,WR46,119,WR48,126,WR
Adrian Peterson,00-0025394,RB42,122,RB42,121,RB39,103,RB
Nick Chubb,00-0034791,RB43,123,RB38,102,RB42,116,RB
CJ Anderson,00-0029854,RB44,124,RB41,112,RB43,118,RB
Baltimore Ravens,BAL,DST5,125,DST7,138,DST6,128,DST
Los Angeles Chargers,LAC,DST6,126,DST5,129,DST5,122,DST
Greg Zuerlein,00-0029621,K1,127,K1,133,K2,132,K
Alex Smith,00-0023436,QB17,128,QB18,140,QB17,133,QB
Matt Breida,00-0033308,RB45,129,RB51,156,RB47,131,RB
Calvin Ridley,00-0034837,WR48,130,WR47,120,WR46,123,WR
Stephen Gostkowski,00-0024333,K2,131,K2,141,K1,125,K
Keelan Cole,00-0033681,WR49,132,WR54,161,WR51,137,WR
George Kittle,00-0033288,TE13,133,TE13,132,TE13,135,TE
Ty Montgomery,00-0032200,RB46,134,RB44,127,RB50,140,RB
Marcus Mariota,00-0032268,QB18,135,QB17,135,QB20,144,QB
Tyler Eifert,00-0030549,TE14,136,TE14,146,TE14,141,TE
Houston Texans,HOU,DST7,137,DST6,136,DST7,138,DST
Derek Carr,00-0031280,QB19,138,QB19,144,QB18,142,QB
