player_id,player_full_name,player_name,position,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Fitzgerald Toussaint,,RB,,,RB109,375,RB108,338
,Troymaine Pope,,RB,,,RB110,378,RB110,339
,David Moore,,WR,,,WR137,390,WR124,344
,Eric Tomlinson,,TE,,,TE58,394,TE51,346
,Derek Carrier,,TE,,,TE61,412,TE53,354
,Akrum Wadley,,RB,,,RB120,413,RB118,355
,Tim Tebow,,TE,,,TE62,421,TE54,359
,Ito Smith,,RB,,,RB125,431,RB119,367.5
,Randy Bullock,,K3,,,K34,432,K33,331
,Kyle Lauletta,,QB,,,QB54,433,QB43,365
,Mike Nugent,,K3,,,,,K32,292
,De'Angelo Henderson Sr.,,RB,,,,,RB111,343
,Bo Scarbrough,,RB,,,,,RB112,345
,Kapri Bibbs,,RB,,,,,RB116,350
,Justin Jackson,,RB,,,,,RB117,354
,Jeremy McNichols,,RB,,,,,RB120,377
