player_id,player_full_name,player_name,POSITION,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0033881,Evan Engram,E.Engram,TE,TE8,78.3,TE9,82.7,TE8,85.5
00-0036252,Michael Pittman,M.Pittman,WR,WR33,81.5,WR34,80.3,WR34,79
88-8888888,San Francisco 49ers,S.Francisco 49ers,DS,DST1,82.8,DST1,94,DST1,106
00-0037247,George Pickens,G.Pickens,WR,WR34,83,WR31,78.7,WR30,75
00-0033885,David Njoku,D.Njoku,TE,TE9,85.8,TE10,95.7,TE10,97.5
00-0035045,David Montgomery1,D.Montgomery1,RB,RB31,86,RB31,76.7,RB31,75.5
00-0033077,Dak Prescott,D.Prescott,QB,QB10,89.5,QB9,85.3,QB10,88
00-0029597,Justin Tucker,J.Tucker,K,K1,90.3,K1,111.3,K1,109.5
00-0035662,Marquise Brown,M.Brown,WR,WR35,91.3,WR36,89.3,WR36,86.5
00-0037741,Jahan Dotson,J.Dotson,WR,WR36,91.8,WR35,88,WR37,87
00-0036212,Tua Tagovailoa,T.Tagovailoa,QB,QB11,93.5,QB11,96,QB11,96
00-0038994,Jordan Addison,J.Addison,WR,WR37,93.8,WR37,91.7,WR35,86
00-0036265,AJ Dillon,A.Dillon,RB,RB32,94.5,RB33,91,RB32,83
00-0031236,Brandin Cooks,B.Cooks,WR,WR38,95,WR40,98.7,WR39,98.5
00-0036894,Pat Freiermuth,P.Freiermuth,TE,TE10,95.3,TE8,82.7,TE9,89
00-0038543,Jaxon Smith-Njigba,J.Smith-Njigba,WR,WR39,97.5,WR38,96.3,WR38,90.5
00-0036906,Khalil Herbert,K.Herbert,RB,RB33,99,RB32,89.7,RB33,87
00-0023459,Aaron Rodgers1,A.Rodgers1,QB,QB12,101.8,QB12,105.7,QB12,102.5
00-0036997,Jamaal Williams3,J.Williams3,RB,RB34,103.8,RB36,101.3,RB36,97.5
88-8888888,Philadelphia Eagles,P.Eagles,DS,DST2,106,DST2,105.7,DST2,117.5
00-0034348,Courtland Sutton,C.Sutton,WR,WR40,106,WR42,108,WR41,104
00-0031235,Odell Beckham,O.Beckham,WR,WR42,106.3,WR44,114.7,WR46,114.5
00-0032765,Michael Thomas,M.Thomas,WR,WR41,106.3,WR41,106.7,WR43,107
00-0036196,Gabe Davis,G.Davis,WR,WR43,108.3,WR39,98,WR40,98.5
88-8888888,Buffalo Bills,B.Bills,DS,DST3,108.5,DST4,123.7,DST4,139.5
00-0038542,Brian Robinson2,B.Robinson2,RB,RB35,109.3,RB35,96.3,RB35,91.5
00-0033857,JuJu Smith-Schuster,J.Smith-Schuster,WR,WR44,109.3,WR49,124.7,WR45,113.5
00-0029604,Kirk Cousins,K.Cousins,QB,QB13,109.8,QB14,112.7,QB13,109
00-0036328,Antonio Gibson,A.Gibson,RB,RB36,112.5,RB34,93,RB34,88.5
00-0037742,Treylon Burks,T.Burks,WR,WR45,114,WR47,120,WR48,119
00-0034161,Daniel Carlson,D.Carlson,K,K2,114.3,K2,129,K2,142.5
00-0039064,Zay Flowers,Z.Flowers,WR,WR46,115,WR43,110.7,WR42,105
00-0036913,Kadarius Toney,K.Toney,WR,WR47,116.8,WR46,119.3,WR44,113.5
00-0039165,Zach Charbonnet,Z.Charbonnet,RB,RB37,118,RB37,106.7,RB37,101.5
88-8888888,Dallas Cowboys,D.Cowboys,DS,DST4,118.3,DST3,110.7,DST3,127
00-0033526,Samaje Perine,S.Perine,RB,RB38,118.5,RB39,111.3,RB38,108.5
00-0039164,Anthony Richardson,A.Richardson,QB,QB14,120.3,QB15,114.3,QB14,110
00-0034383,Dalton Schultz,D.Schultz,TE,TE11,120.5,TE12,139.3,TE12,124.5
00-0035710,Daniel Jones,D.Jones,QB,QB15,120.8,QB13,108.3,QB15,115.5
88-8888888,New York Jets,N.York Jets,DS,DST5,122.3,DST5,133.7,DST6,154
00-0030565,Geno Smith,G.Smith,QB,QB16,124.8,QB16,121.3,QB16,121.5
00-0038544,Quentin Johnston,Q.Johnston,WR,WR48,125.3,WR51,139,WR50,121.5
00-0031376,Jerick McKinnon,J.McKinnon,RB,RB39,125.3,RB43,127.3,RB47,130.5
00-0038933,Dalton Kincaid,D.Kincaid,TE,TE12,127,TE11,121.7,TE11,112.5
00-0038090,Skyy Moore,S.Moore,WR,WR49,127.5,WR48,120.7,WR47,117
88-8888888,New England Patriots,N.England Patriots,DS,DST6,128.5,DST6,143,DST5,150
00-0034173,Eddy Pineiro,E.Pineiro,K,K21,129,,,,
00-0036162,Tyler Bass,T.Bass,K,K3,129,K3,134.7,K4,148
00-0036290,Cole Kmet,C.Kmet,TE,TE13,129.5,TE13,145.3,TE13,138.5
00-0036854,Evan McPherson,E.McPherson,K,K4,130.3,K4,138.3,K3,147.5
00-0033303,Harrison Butker,H.Butker,K,K5,133.5,K5,141.3,K5,153
00-0033045,Ezekiel Elliott,E.Elliott,RB,RB40,134.8,RB42,125.3,RB44,123.5
00-0031687,Raheem Mostert,R.Mostert,RB,RB41,135,RB40,118.7,RB41,115
00-0033110,Tyler Higbee,T.Higbee,TE,TE14,136.3,TE15,146.7,TE14,143.5
00-0031492,Jason Myers,J.Myers,K,K6,136.8,K9,189.3,K7,182
00-0039040,De'Von Achane,D.Achane,RB,RB42,136.8,RB45,131.7,RB40,111
00-0030035,Adam Thielen,A.Thielen,WR,WR50,137.3,WR53,141.7,WR51,130
88-8888888,Baltimore Ravens,B.Ravens,DS,DST7,138.8,DST7,151.3,DST7,160
00-0033106,Jared Goff,J.Goff,QB,QB17,138.8,QB17,142.3,QB17,128
00-0033702,Younghoe Koo,Y.Koo,K,K7,139,K6,155.3,K6,172
00-0034750,Rashaad Penny,R.Penny,RB,RB43,140.3,RB38,110.7,RB39,110
00-0036567,Elijah Mitchell,E.Mitchell,RB,RB44,140.3,RB44,131.3,RB42,120.5
88-8888888,Pittsburgh Steelers,P.Steelers,DS,DST8,141.5,DST11,193.7,DST9,178
00-0034521,Allen Lazard,A.Lazard,WR,WR51,143.5,WR52,140.7,WR52,132.5
88-8888888,Miami Dolphins,M.Dolphins,DS,DST9,145.8,DST8,172.3,DST11,191
